excel_name,excel_price,closest_deliv,score
فطر مقطع موندور 800غ,"320,00",فطر مقطع موندور,0.75
مرغرين بونجور 200غ,"75,00",مرغرين بونجور,0.67
مرغرين فلوريال 250غ,"100,00",مرغرين فلوريال,0.67
زبدة ستار 200غ,"160,00",زبده ستار,0.67
مرغرين التوريق صالحة 500غ,"190,00",مرغرين التوريق صالحه,0.75
موندور 450غ,"260,00",فرماج موندور,0.5
حميس بنارة 180غ,"100,00",حميس بناره,0.67
حميس صاشي 100غ,"60,00",حميس زيتون صاشي,0.67
حميس زيتون صاشي 100غ,"60,00",حميس زيتون صاشي,0.75
حميس زيتون صاشي 400غ,"250,00",حميس زيتون صاشي,0.75
رامي ميلكي كرطونة 1ل,"140,00",رامي ميلكي كرطونه 20سل,0.75
عصير رامي كرطونة 1ل,"120,00",عصير رامي كرطونه,0.75
صومي حليب 180مل,"55,00",صومي حليب,0.67
كانديا شوكو 125مل,"40,00",كانديا شوكو,0.67
بيفا شوكو 125مل,"30,00",بيفا شوكو,0.67
جي توب يومي 200مل,"25,00",جي توب يومي,0.75
جبن اولاف 400غ,"200,00",جبن اولاف,0.67
جبن اولاف 800غ,"340,00",جبن اولاف,0.67
نابولي 220غ,"120,00",نابولي,0.5
كاشير شابلي 200غ,"80,00",كاشير شابلي,0.67
فرماج نابولتالي 200غ,"100,00",فرماج نابولتالي,0.67
قازوز معلم 1ل,"60,00",قازوز معلم,0.67
فرماج بيتزا سيسيليان 800غ,"230,00",فرماج بيتزا سيسيليان,0.75
قازوز حمود 2ل,"140,00",قازوز حمود سليم,0.67
قازوز سليم 2ل,"130,00",قازوز حمود سليم,0.67
قازوز حمود سليم 1ل,"90,00",قازوز حمود سليم,0.75
صومام ديالنا 100غ,"20,00",صومام ديالنا,0.67
جبن طازج 90غ,"50,00",جبن طازج,0.67
ياغورت ياقو 1ل,"150,00",ياغورت ياقو,0.67
ياغورت ترته 1ل,"165,00",ياغورت ترته,0.67
ياغورت سيريالو 1ل,"165,00",ياغورت سيريالو,0.67
رايب صومام 1ل,"150,00",رايب صومام,0.67
لبن صومام 1ل,"150,00",لبن صومام,0.67
جي افروي كرطونة 1ل,"140,00",جي افروي كرطونه,0.75
جي اولي 1ل,"150,00",جي اولي,0.67
حليب كانديا 1ل,"140,00",حليب كانديا,0.67
حليب صومام 1ل,"140,00",حليب صومام,0.67
حليب صومام 0.5ل,"80,00",حليب صومام,0.67
فرماج شيزي 24 قطعة,"270,00",فرماج شيزي,0.5
فرماج شيزي 16 قطعة,"185,00",فرماج شيزي,0.5
فرماج سيبلي 16 قطعة,"150,00",فرماج سيبلي,0.5
فرماج سيبلي 24 قطعة,"220,00",فرماج سيبلي,0.5
فرماج بيكو 24 قطعة,"215,00",فرماج بيكو,0.5
فرماج لافاش كيري 24 قطعة,"295,00",فرماج لافاش كيري 8 قطع,0.6
فرماج لافاش كيري 16 قطعة,"200,00",فرماج لافاش كيري 8 قطع,0.6
شاربات صومام 1ل,"120,00",شاربات صومام,0.67
بريلكس مزيل الدهون 950مل,"340,00",بريلكس مزيل الدهون صغير,0.75
فورس اكسبرس 950مل,"350,00",معطر الجو فورس اكسبرس,0.67
موبي سيك مبيد الحشرات 750مل,"280,00",موبي سيك مبيد الحشرات,0.8
