"our_id","our_name","old_image","action"
"6a7b92cd0d97848094f62c4b","ارز بسمتي روعة","https://api.delivap.com/uploads/1786563722322-a7176572-a51c-403f-a587-139cf075826c.webp","UPDATED"
"6a7b92cd0d97848094f62c49","طعام ماما رقيق","https://api.delivap.com/uploads/1786563724342-584f234a-75d1-4105-a59f-102ae2817913.webp","UPDATED"
"6a7b92cd0d97848094f62c2e","ماقرون عمر بن عمر","https://api.delivap.com/uploads/1786563727817-3865a177-4b64-4ad9-a73e-135f58b62dd6.webp","UPDATED"
"6a7b92cd0d97848094f62c2c","محمصة عمر بن عمر","https://api.delivap.com/uploads/1786563731845-fce8dc23-50ed-4031-866c-a8aba77ba6bf.webp","UPDATED"
"6a7b92cd0d97848094f62c29","ارز بسمتس الوسام","https://api.delivap.com/uploads/1786563734033-a9b1d844-30a6-4766-9aed-ecf8642079f8.webp","UPDATED"
"6a7b92cd0d97848094f62c1b","فطر فيتر كامل","https://api.delivap.com/uploads/1786563736340-f5d5210d-0401-4bdc-bcad-ebc5a1970d87.webp","UPDATED"
"6a7b92cd0d97848094f62c10","ملح","https://api.delivap.com/uploads/1786563738883-6506eb0f-5f86-4de4-b7e8-09db7b171546.webp","UPDATED"
"6a7b92cd0d97848094f62c0c","سكر","https://api.delivap.com/uploads/1786563741640-7dd081e0-b9c7-4951-9e54-4bfd4fea10c5.webp","UPDATED"
"6a7b92cd0d97848094f62c0b","طماطم سيم 28 %","https://api.delivap.com/uploads/1786563745534-c9ac1980-fbb1-4a4c-b3bb-8053c84f9214.webp","UPDATED"
"6a7b92cd0d97848094f62c0a","طماطم افريل","https://api.delivap.com/uploads/1786563748122-64da19fd-3b33-4312-9588-3beaf2b20c87.webp","UPDATED"
"6a7b92cd0d97848094f62c05","حليب ميلكوسبراي","https://api.delivap.com/uploads/1786563750007-d854c67d-6726-4dbf-8134-3011efb828d0.webp","UPDATED"
"6a7b92cd0d97848094f62c00","قهوة 1001 عادي","https://api.delivap.com/uploads/1786563753685-f6ce45da-bd12-4b71-9dc3-bb221373a5fc.webp","UPDATED"
"6a7b92cd0d97848094f62bff","قهوة فاميكو","https://api.delivap.com/uploads/1786563757359-cf630d70-7f55-4bfa-99d0-8a65d80b667a.webp","UPDATED"
"6a7b92cd0d97848094f62bfd","قهوة 1001 غولد","https://api.delivap.com/uploads/1786563760171-6d834889-86ce-4d97-8e16-9a7e1a7f3398.webp","UPDATED"
"6a7b92cd0d97848094f62bf8","حليب لويا","https://api.delivap.com/uploads/1786563763403-bb8ec090-1def-424f-a61a-f40b45be7f62.webp","UPDATED"
"6a7b92cd0d97848094f62bf5","حليب ميلكوسبراي","https://api.delivap.com/uploads/1786563765746-f2baa8ee-94fe-468d-9e96-5b1f9465a828.webp","UPDATED"
